id,name,category,desc,ticket,duration,lat,lng,rating,tags,stay_detail,source,gmaps_url
kawah-putih,Kawah Putih,Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan di ketinggian 2430 mdpl,81000.0,150.0,-7.166,107.4019,4.6,"['sunrise', 'fotogenik', 'dingin']","Parkir & jalan ke kawah 20', keliling kawah & foto 90', istirahat 20', kembali ke parkir 20'",manual,https://www.google.com/maps/search/?api=1&query=Kawah%20Putih%2C%20Bandung
kebun-teh-rancabali,Kebun Teh Rancabali,Alam,Hamparan kebun teh hijau di Ciwidey dengan udara sejuk dan pemandangan luas,25000.0,105.0,-7.1432,107.4106,4.5,"['hijau', 'fotogenik', 'sejuk']","Jalan ke area kebun 15', jalan-jalan & foto di perkebunan 60', duduk santai 30'",manual,https://www.google.com/maps/search/?api=1&query=Kebun%20Teh%20Rancabali%2C%20Bandung
stone-garden-padalarang,Stone Garden Padalarang,Alam,"Taman batu purba dengan formasi karst unik di kawasan Citatah, Padalarang",15000.0,105.0,-6.8323,107.4709,4.4,"['batu', 'fotogenik', 'karst']","Naik ke area batu 20', eksplorasi formasi & foto 60', istirahat 25'",manual,https://www.google.com/maps/search/?api=1&query=Stone%20Garden%20Padalarang%2C%20Bandung
tebing-keraton,Tebing Keraton,Alam,"Tebing dengan view hutan pinus Dago Pakar, populer untuk sunrise",15000.0,120.0,-6.8359,107.663,4.5,"['sunrise', 'hiking', 'tebing']","Hiking ke tebing 30', menikmati view & foto 45', duduk santai 25', turun kembali 20'",manual,https://www.google.com/maps/search/?api=1&query=Tebing%20Keraton%2C%20Bandung
tangkuban-perahu,Tangkuban Perahu,Alam,Gunung berapi aktif dengan kawah ratu yang ikonik di utara Bandung,30000.0,135.0,-6.7597,107.6098,4.5,"['gunung', 'kawah', 'legendaris']","Parkir & jalan ke kawah ratu 20', lihat kawah & foto 45', jalan ke kawah domas 30', kembali 25', beli oleh-oleh 15'",manual,https://www.google.com/maps/search/?api=1&query=Tangkuban%20Perahu%2C%20Bandung
floating-market-lembang,Floating Market Lembang,Kuliner,Pasar terapung dengan beragam jajanan tradisional Sunda di atas perahu,30000.0,105.0,-6.8121,107.6178,4.3,"['jajanan', 'keluarga', 'fotogenik']","Keliling pasar & pilih makanan 30', antri & beli jajanan 20', makan di perahu 35', foto-foto 20'",manual,https://www.google.com/maps/search/?api=1&query=Floating%20Market%20Lembang%2C%20Bandung
jalan-braga,Jalan Braga,Kuliner,"Kawasan bersejarah dengan kafe, resto, dan bangunan kolonial khas Bandung tempo dulu",0.0,100.0,-6.916,107.6094,4.4,"['heritage', 'kafe', 'malam']","Jalan-jalan sepanjang Braga 25', pilih & masuk kafe 10', pesan & tunggu 15', makan/ngopi 35', foto arsitektur 15'",manual,https://www.google.com/maps/search/?api=1&query=Jalan%20Braga%2C%20Bandung
punclut-bukit-bintang,Punclut Bukit Bintang,Kuliner,"Spot makan dengan view kota Bandung dari ketinggian, populer untuk dinner romantis",0.0,110.0,-6.8528,107.6235,4.3,"['view', 'romantis', 'malam']","Cari tempat duduk & pesan 15', tunggu makanan 20', makan sambil nikmati view 45', foto & santai 30'",manual,https://www.google.com/maps/search/?api=1&query=Punclut%20Bukit%20Bintang%2C%20Bandung
saung-angklung-udjo,Saung Angklung Udjo,Budaya,Pusat pertunjukan dan pelatihan angklung — warisan budaya Sunda dunia,75000.0,120.0,-6.8924,107.6537,4.7,"['pertunjukan', 'edukasi', 'tradisi']","Registrasi & duduk 15', pertunjukan angklung 60', workshop interaktif 30', beli merchandise 15'",manual,https://www.google.com/maps/search/?api=1&query=Saung%20Angklung%20Udjo%2C%20Bandung
gedung-sate,Gedung Sate,Budaya,Gedung pemerintahan ikonik dengan arsitektur Indo-Eropa dan ornamen tusuk sate,5000.0,75.0,-6.9024,107.6188,4.5,"['heritage', 'ikon', 'arsitektur']","Registrasi 10', tur dalam gedung & museum 40', foto eksterior & taman 25'",manual,https://www.google.com/maps/search/?api=1&query=Gedung%20Sate%2C%20Bandung
